Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Round,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
Anistavio 'Gasparzinho' Medeiros,Anistavio Medeiros,Gasparzinho,5.6,145.0,Orthodox,19,10,0,False,1.0,0.0,11.0,0.0,1.0,0.0,0.44,0.17,0.0,1.0,0.44,0.0,0.0,0.0,0.0,Featherweight,Male,No Clear Style
MarQuel 'No Nickname' Mederos,MarQuel Mederos,No Nickname,5.1,155.0,Orthodox,11,1,0,False,3.0,0.33,69.67,0.33,0.0,128.0,0.57,0.45,0.86,0.8,0.54,1.0,0.52,0.0,0.33,Lightweight,Male,Striker
Uros 'The Doctor' Medic,Uros Medic,The Doctor,6.1,170.0,Southpaw,11,3,0,False,1.5,0.38,22.12,1.0,0.25,10.88,0.58,0.49,0.75,0.62,0.56,0.57,0.58,0.0,0.0,Welterweight,Male,Striker
Todd 'El Tiburon' Medina,Todd Medina,El Tiburon,5.1,193.0,Southpaw,11,9,0,False,1.0,0.0,2.0,0.5,0.5,22.8,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,Open Weight,Male,Wrestler
Emil 'Valhalla' Meek,Emil Meek,Valhalla,5.11,170.0,Switch,9,5,1,False,3.0,0.0,37.25,2.25,0.5,130.25,0.39,0.33,0.62,0.53,0.28,0.61,0.84,1.0,0.0,Welterweight,Male,Wrestler
Gerald 'GM3' Meerschaert,Gerald Meerschaert,GM3,6.1,185.0,Southpaw,37,20,0,False,2.08,0.12,28.46,1.33,0.58,112.5,0.46,0.36,0.72,0.54,0.41,0.47,0.3,0.79,0.38,Middleweight,Male,Wrestler
Jordan 'Young Gun' Mein,Jordan Mein,Young Gun,6.0,170.0,Orthodox,31,12,0,False,2.33,0.22,29.56,1.78,0.33,160.89,0.49,0.4,0.69,0.79,0.45,0.51,0.45,0.22,0.22,Welterweight,Male,Striker
Brian 'No Nickname' Melancon,Brian Melancon,No Nickname,5.8,170.0,Orthodox,7,3,0,False,1.0,0.0,10.0,0.0,0.0,50.0,0.45,0.4,0.88,0.5,0.4,0.5,0.36,0.0,0.0,Welterweight,Male,Hybrid
Brandon 'The Murderer' Melendez,Brandon Melendez,The Murderer,5.11,155.0,Southpaw,25,25,0,False,2.0,0.0,6.0,0.0,0.0,82.0,0.26,0.24,0.5,0.0,0.26,0.0,0.25,0.0,2.0,Lightweight,Male,Wrestler
Gilbert 'El Nino' Melendez,Gilbert Melendez,El Nino,5.9,145.0,Orthodox,22,8,0,False,3.14,0.0,52.43,1.0,0.0,50.14,0.28,0.24,0.52,0.53,0.26,0.56,0.48,0.0,0.0,Featherweight,Male,Hybrid
