Full Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Olivier Aubin-Mercier,The Canadian Gangster,5.9,155.0,70.0,Southpaw,11,5,0,False
Pat Audinwood,Awesomely Awesome,6.0,155.0,,Orthodox,11,2,1,False
Jose Augusto,Gugu,6.3,251.0,,Orthodox,6,2,0,False
Marcus Aurelio,Maximus,5.1,155.0,74.0,Orthodox,22,10,0,False
David Avellan,No Nickname,5.9,185.0,,Orthodox,2,1,0,False
Blas Avena,The Disciple,6.0,170.0,74.0,Orthodox,8,7,0,False
Levi Avera,No Nickname,6.1,170.0,,Orthodox,18,15,0,False
Anthony Avila,No Nickname,5.7,145.0,,Orthodox,13,5,0,False
Chris Avila,No Nickname,5.1,145.0,,Orthodox,5,4,0,False
Julia Avila,Raging Panda,5.7,135.0,68.0,Orthodox,9,4,0,False
Saad Awad,Assassin,5.11,155.0,,Orthodox,20,9,0,False
Javy Ayala,Eye Candy,6.1,265.0,,Orthodox,10,5,0,False
Jessin Ayari,No Nickname,6.0,155.0,73.0,Orthodox,16,6,0,False
Abu Azaitar,Captain Morocco,5.9,185.0,76.0,Orthodox,14,4,1,False
Ottman Azaitar,Bulldozer,5.8,155.0,71.0,Switch,13,3,0,False
Luiz Azeredo,No Nickname,5.9,154.0,,Orthodox,15,10,0,False
Luciano Azevedo,No Nickname,6.3,161.0,,Orthodox,17,9,1,False
Hunter Azure,No Nickname,5.8,145.0,69.0,Orthodox,9,2,0,False
Niklas Backstrom,No Nickname,6.1,145.0,,Orthodox,11,3,0,False
Seth Baczynski,The Polish Pistola,6.3,170.0,75.0,Orthodox,20,14,0,False
Abdul Azeem Badakhshi,The Afghan Lion,,145.0,,Orthodox,13,3,0,False
Ryan Bader,Darth,6.2,205.0,74.0,Orthodox,23,5,0,False
Izabela Badurek,No Nickname,5.5,115.0,,Orthodox,6,3,0,False
Miguel Baeza,Caramel Thunder,6.2,170.0,74.0,Orthodox,10,4,0,False
Ali Bagautinov,Puncher,5.4,125.0,65.0,Orthodox,15,6,0,False
Mehdi Baghdad,The Sultan,6.1,155.0,,Orthodox,11,5,0,False
Melsik Baghdasaryan,The Gun,5.9,145.0,70.0,Southpaw,8,3,0,False
Siyar Bahadurzada,The Great,5.11,170.0,73.0,Orthodox,24,8,1,False
Ignacio Bahamondes,La Jaula,6.3,155.0,75.0,Orthodox,17,6,0,False
Bahatebole Batebolati,Lion King,5.8,170.0,71.0,Southpaw,10,1,1,False
Shamar Bailey,No Nickname,5.9,155.0,75.0,Southpaw,16,11,0,False
Jordan Bailey,No Nickname,5.9,145.0,,Orthodox,6,3,0,False
Scott Baker,No Nickname,6.0,210.0,,Orthodox,1,1,0,False
Bryan Baker,The Beast,6.3,185.0,,Orthodox,18,5,0,False
Jin Bala,No Nickname,5.9,155.0,,Orthodox,23,3,0,False
 Balajin,The Snow Leopard,5.9,145.0,72.0,Orthodox,23,4,0,False
Oluwale Bamgbose,Holy War Angel,5.11,185.0,78.0,Switch,6,4,0,False
Stephen Banaszak,No Nickname,6.0,145.0,,Orthodox,5,5,0,False
Marcin Bandel,Bomba,5.1,155.0,,Orthodox,15,7,0,False
Humberto Bandenay,No Nickname,5.11,145.0,71.0,Southpaw,14,7,0,False
Tae Hyun Bang,Supernatural,5.9,155.0,71.0,Switch,18,10,0,False
Yohan Banks,No Nickname,,,,Orthodox,2,1,0,False
Shauna Bannon,Mama B,5.5,115.0,65.0,Switch,7,2,0,False
Antonio Banuelos,No Nickname,5.5,135.0,63.0,Orthodox,20,11,1,False
Iwo Baraniewski,Rudy,6.0,205.0,73.0,Orthodox,6,0,0,False
Renan Barao,The Baron,5.6,145.0,70.0,Orthodox,34,9,0,False
Junior Barata,No Nickname,5.1,170.0,,Orthodox,9,3,1,False
Maycee Barber,The Future,5.5,125.0,65.0,Switch,14,2,0,False
Bryan Barberena,Bam Bam,6.0,185.0,72.0,Southpaw,18,12,0,False
Djani Barbir,No Nickname,6.3,185.0,79.0,Orthodox,7,1,0,False
Dione Barbosa,The Witch,5.6,125.0,66.0,Orthodox,8,4,0,False
