"Status","","'=","in Betrieb",""
"","","'=","genehmigt, noch nicht in Betrieb",""


"Zuständige Dienststelle","Standortgemeinde","Hersteller","Typbezeichnung des Herstellers","Generatorleistung [MW]","Nabenhöhe [m]","Rotordurchmesser [m]","Status","Inbetriebnahmedatum","Stilllegedatum","Ost","Nord","Herkunft der Daten","Stand der Daten"
"Landratsamt Main-Tauber-Kreis","Boxberg","Enercon","E-115","3,00","149,00","115,72","in Betrieb","31.03.2018",,"550086","5480040","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Enercon","E-115","3,00","149,00","115,72","in Betrieb","31.03.2018",,"550299","5479690","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Enercon","E-115","3,00","149,00","115,72","in Betrieb","08.03.2018",,"549957","5480316","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Enercon","E-115","3,00","149,00","115,72","in Betrieb","31.03.2018",,"550961","5479200","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Enercon ","E-101","3,05","135,00","101,00","in Betrieb","28.07.2017",,"547667","5488346","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Enercon","E-115 G2","3,00","149,00","115,72","in Betrieb","15.12.2016",,"541829","5481086","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Enercon","E-115 G2","3,00","149,00","115,72","in Betrieb","30.12.2016",,"541991","5480837","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Enercon","E-115","3,00","149,00","115,72","in Betrieb","16.02.2017",,"541909","5480456","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Enercon","E-115 G2","3,00","149,00","115,72","in Betrieb","01.12.2016",,"542536","5480339","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","Enercon","E-92","2,35","139,13","92,00","in Betrieb","04.04.2016",,"569524","5480914","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Ahorn","GE ","GE 2.75-120","2,78","139,00","120,00","in Betrieb","30.05.2017",,"541261","5488891","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Ahorn","GE","GE 2.75-120","2,78","139,00","120,00","in Betrieb","30.05.2017",,"541455","5488588","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Ahorn","GE","GE 2.75-120","2,78","139,00","120,00","in Betrieb","30.05.2017",,"541706","5488296","LUBW      ","2025"
