First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Eric,Bedard,Lucky Strikes,"6' 2""",239 lbs.,--,,6,7,0,False
Johnny,Bedford,Brutal,"5' 10""",135 lbs.,"71.0""",Orthodox,21,13,1,False
Rolando,Bedoya,The Machine,"5' 11""",155 lbs.,"74.0""",Orthodox,14,4,0,False
Chase,Beebe,,"5' 7""",135 lbs.,"67.0""",Orthodox,24,13,1,False
Lyle,Beerbohm,Fancy Pants,"5' 10""",155 lbs.,--,Southpaw,24,3,0,False
Allan,Begosso,Mini,"5' 5""",135 lbs.,"66.0""",Orthodox,7,2,1,False
Azamat,Bekoev,Iron,"6' 0""",185 lbs.,"72.0""",Orthodox,20,3,0,False
Mirsad,Bektic,,"5' 8""",145 lbs.,"70.0""",Orthodox,13,4,0,False
Diana,Belbita,The Warrior Princess,"5' 7""",125 lbs.,"68.0""",Orthodox,15,10,0,False
Alan,Belcher,The Talent,"6' 2""",185 lbs.,"75.0""",Orthodox,18,8,0,False
Vitor,Belfort,The Phenom,"6' 0""",185 lbs.,"74.0""",Southpaw,26,14,0,False
Yousri,Belgaroui,,"6' 5""",185 lbs.,"79.0""",Orthodox,8,3,0,False
Rodolfo,Bellato,Trator,"6' 3""",205 lbs.,"75.0""",Orthodox,12,2,1,False
Danilo,Belluardo,Caterpillar,"6' 0""",155 lbs.,"74.0""",Southpaw,12,5,0,False
Joey,Beltran,The Mexicutioner,"6' 1""",185 lbs.,"75.0""",Orthodox,17,14,0,False
Marco,Beltran,Psycho,"5' 8""",125 lbs.,"69.0""",Orthodox,8,6,0,False
Joseph,Benavidez,,"5' 4""",125 lbs.,"65.0""",Southpaw,28,8,0,False
Mike,Bencic,Batman,"6' 0""",215 lbs.,--,Orthodox,1,2,0,False
Dave,Beneteau,Dangerous,"6' 2""",250 lbs.,--,Orthodox,6,5,1,False
Karla,Benitez,,"5' 3""",113 lbs.,--,,14,11,1,False
Gabriel,Benitez,Moggly,"5' 8""",155 lbs.,"71.0""",Southpaw,23,13,0,False
Charles,Bennett,Krazy Horse,"5' 8""",155 lbs.,--,Orthodox,30,33,2,False
Josh,Bennett,,"6' 4""",259 lbs.,--,Orthodox,11,14,0,False
DeAnna,Bennett,The Argentine Assassin,"5' 4""",125 lbs.,"68.0""",Orthodox,8,3,1,False
Benjamin,Bennett,Mr. Alaska,"6' 0""",170 lbs.,"73.0""",Switch,7,1,0,False
Lance,Benoist,,"5' 11""",170 lbs.,"72.0""",Southpaw,7,2,0,False
Joe,Benoit,,"5' 9""",170 lbs.,--,Orthodox,11,4,0,False
Ryan,Benoit,Baby Face,"5' 5""",125 lbs.,"68.0""",Orthodox,10,8,0,False
Pat,Benson,,"5' 9""",155 lbs.,--,,3,5,3,False
Len,Bentley,,"5' 9""",155 lbs.,--,,10,6,0,False
Steve,Berger,The Red Nosed Pitbull,"5' 11""",170 lbs.,--,Orthodox,21,23,2,False
Kenneth,Bergh,,"6' 2""",205 lbs.,"74.0""",Orthodox,8,0,0,False
Bret,Bergmark,The Angry Hick,"5' 9""",170 lbs.,--,,6,1,1,False
Keith,Berish,Sha Bang Bang,"6' 0""",205 lbs.,--,Orthodox,5,1,0,False
Dennis,Bermudez,The Menace,"5' 6""",155 lbs.,"66.0""",Orthodox,17,9,0,False
Manny,Bermudez,The Bermudez Triangle,"5' 10""",145 lbs.,"71.0""",Orthodox,14,2,0,False
Talita,Bernardo,,"5' 4""",135 lbs.,"68.0""",Orthodox,6,4,0,False
Dave,Berry,,--,--,--,,0,1,0,False
Keith,Berry,,"6' 1""",185 lbs.,--,,15,14,1,False
Dieusel,Berto,,"5' 9""",200 lbs.,--,,0,3,0,False
Edson,Berto,Little Tiger,"5' 6""",155 lbs.,--,Orthodox,17,12,1,False
Allen,Berube,Monstah Lobstah,"5' 8""",155 lbs.,--,Orthodox,4,3,0,False
Anton,Berzin,The Body Snatcher,"6' 2""",205 lbs.,--,Orthodox,5,1,0,False
Scott,Bessac,,"6' 4""",245 lbs.,--,,4,6,0,False
Matt,Bessette,The Mangler,"5' 10""",145 lbs.,"70.0""",Orthodox,22,9,0,False
Khadzhi,Bestaev,Best,"6' 6""",185 lbs.,"76.0""",,10,4,0,False
Fernando,Bettega,,--,170 lbs.,--,,7,5,0,False
Arjan,Bhullar,,"6' 1""",245 lbs.,"75.0""",Orthodox,9,1,0,False
KB,Bhullar,The Bengal,"6' 4""",185 lbs.,"78.0""",Switch,8,2,0,False
Bibulatov,Magomed,Chaborz,"5' 5""",125 lbs.,"65.0""",Orthodox,14,2,0,False
David,Bielkheden,,"5' 10""",155 lbs.,"71.0""",Orthodox,24,12,0,False
Blake,Bilder,El Animal,"5' 8""",145 lbs.,"68.0""",Switch,8,2,1,False
Jonas,Bilharinho,,"5' 11""",145 lbs.,"75.0""",Switch,9,1,1,False
Jeremiah,Billington,,"5' 9""",205 lbs.,--,Orthodox,11,2,0,False
Scott,Bills,,"5' 10""",170 lbs.,--,,7,9,1,False
Anthony,Birchak,El Toro,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,0,False
Chris,Birchler,The Big Buck,"6' 3""",205 lbs.,--,Switch,7,4,0,False
Angad,Bisht,,"5' 7""",125 lbs.,"67.0""",Orthodox,10,3,0,False
Michael,Bisping,The Count,"6' 1""",185 lbs.,"75.0""",Orthodox,30,9,0,False
Amaury,Bitetti,,"5' 9""",185 lbs.,--,Orthodox,5,2,0,False
Caio,Bittencourt,Leao,"6' 0""",185 lbs.,"75.0""",Orthodox,14,7,0,False
Davi,Bittencourt,The Black,"5' 5""",135 lbs.,"65.0""",Orthodox,14,4,0,False
Simon,Biyong,,--,205 lbs.,--,,7,1,0,False
Jan,Blachowicz,,"6' 2""",205 lbs.,"78.0""",Orthodox,29,11,1,False
Jason,Black,The Black Legion,"5' 8""",155 lbs.,--,Orthodox,23,4,1,False
Brad,Blackburn,Bad Brad,"5' 10""",170 lbs.,"73.0""",Orthodox,18,13,1,False
Jason,Blackford,,--,--,--,,3,3,0,False
Tom,Blackledge,,--,205 lbs.,--,Orthodox,10,7,0,False
Sherrard,Blackledge,The Thriller,"5' 11""",155 lbs.,"75.0""",Orthodox,5,1,0,False
Da'Mon,Blackshear,The Monster,"5' 10""",135 lbs.,"72.0""",Switch,17,8,1,False
Chasen,Blair,Mestizo,"5' 10""",155 lbs.,"71.0""",Orthodox,7,4,0,False
Erin,Blanchfield,Cold Blooded,"5' 4""",125 lbs.,"66.0""",Orthodox,13,2,0,False
Maximo,Blanco,Maxi,"5' 8""",145 lbs.,"71.0""",Orthodox,12,8,1,False
David,Blanco,,"5' 7""",145 lbs.,--,,2,0,0,False
Curtis,Blaydes,Razor,"6' 4""",265 lbs.,"80.0""",Orthodox,19,5,0,False
Tereza,Bleda,,"5' 9""",125 lbs.,"71.0""",Orthodox,7,1,0,False
Arlene,Blencowe,Angerfist,"5' 5""",145 lbs.,--,,9,6,0,False
Byron,Bloodworth,,"5' 8""",135 lbs.,--,Orthodox,6,3,0,False
Dashawn,Boatwright,"Buck, the 400-pound Silverback","6' 0""",205 lbs.,--,Orthodox,3,1,0,False
Dan,Bobish,,"6' 2""",345 lbs.,--,Southpaw,17,9,0,False
Mark,Bocek,,"5' 8""",155 lbs.,"75.0""",Orthodox,12,5,0,False
Kyle,Bochniak,Killer B,"5' 7""",145 lbs.,"70.0""",Orthodox,8,5,0,False
James,Bochnovic,,"6' 4""",205 lbs.,"81.0""",Orthodox,8,3,0,False
Jeremy,Boczulak,,--,--,--,,0,2,0,False
Tim,Boetsch,The Barbarian,"6' 0""",185 lbs.,"74.0""",Orthodox,21,13,0,False
Galore,Bofando,,"5' 11""",170 lbs.,"72.0""",Switch,5,3,0,False
Jay,Bogan,,--,145 lbs.,--,,6,6,0,False
Roman,Bogatov,,"5' 8""",155 lbs.,"73.0""",Orthodox,10,1,0,False
Derek,Bohi,Marshmallow,"6' 4""",260 lbs.,--,,8,5,0,False
Jerry,Bohlander,,"5' 11""",199 lbs.,--,Orthodox,11,4,0,False
Mandy,Bohm,Monster,"5' 7""",125 lbs.,"71.0""",Orthodox,8,2,0,False
Kotetsu,Boku,,"5' 9""",154 lbs.,--,Orthodox,25,11,2,False
Gaston,Bolanos,The Dreamkiller,"5' 7""",135 lbs.,"69.0""",Orthodox,8,5,0,False
Kyle,Bolt,,"6' 2""",185 lbs.,--,,8,4,0,False
Denys,Bondar,Psycho,"5' 6""",125 lbs.,"69.0""",Orthodox,14,5,0,False
Luc,Bondole,,"6' 2""",205 lbs.,--,,5,2,2,False
Tony,Bonello,The Gun,"6' 2""",185 lbs.,--,,16,3,1,False
Gabriel,Bonfim,Marretinha,"6' 1""",170 lbs.,"72.0""",Orthodox,18,1,0,False
Ismael,Bonfim,Marreta,"5' 8""",155 lbs.,"71.0""",Orthodox,20,5,0,False
Jesse,Bongfeldt,Water,"6' 0""",185 lbs.,--,Orthodox,16,5,1,False
Marcos,Bonilla,Murder Marx,"5' 10""",145 lbs.,--,,4,4,0,False
Stephan,Bonnar,The American Psycho,"6' 4""",205 lbs.,"79.0""",Orthodox,15,9,0,False
Rogerio,Bontorin,,"5' 5""",125 lbs.,"67.0""",Orthodox,16,4,0,False
Ray,Borg,The Tazmexican Devil,"5' 4""",135 lbs.,"63.0""",Orthodox,13,5,0,False
Igor,Borisov,,"6' 0""",235 lbs.,--,Orthodox,1,1,0,False
Kevin,Borjas,El Gallo Negro,"5' 5""",125 lbs.,"68.0""",Orthodox,10,4,0,False
Calen,Born,,"5' 8""",170 lbs.,"72.0""",Switch,7,1,0,False
Caio,Borralho,The Natural,"6' 1""",185 lbs.,"75.0""",Southpaw,17,2,0,False
Zachary,Borrego,The Dragon,"6' 2""",185 lbs.,"78.0""",Switch,3,1,0,False
Viacheslav,Borshchev,Slava Claus,"5' 11""",155 lbs.,"69.0""",Orthodox,8,6,1,False
Tanner,Boser,The Bulldozer,"6' 2""",205 lbs.,"75.0""",Orthodox,21,10,1,False
Steve,Bosse,The Boss,"5' 11""",205 lbs.,"72.0""",Orthodox,12,2,0,False
Marcus,Bossett,The Grasshopper,"6' 1""",215 lbs.,--,Orthodox,1,3,0,False
Chris,Bostick,,--,--,--,,6,3,0,False
Poliana,Botelho,,"5' 8""",125 lbs.,"67.0""",Orthodox,8,5,0,False
Francois,Botha,White Buffalo,"6' 2""",260 lbs.,--,Orthodox,0,1,0,False
Ilian,Bouafia,The Gorilla,"6' 5""",185 lbs.,"78.0""",Southpaw,7,0,0,False
Gregory,Bouchelaghem,,"6' 2""",183 lbs.,--,Switch,5,4,0,False
Roy,Boughton,Black Dynamite,"6' 0""",205 lbs.,--,,14,8,0,False
Rich,Bouphanouvong,,"5' 7""",170 lbs.,--,,1,4,0,False
Mike,Bourke,The Rhino,"6' 0""",275 lbs.,--,Orthodox,10,16,1,False
Jess,Bouscal,,--,155 lbs.,--,,3,2,0,False
Tai,Bowden,,"5' 11""",230 lbs.,--,,1,1,0,False
Melton,Bowen,The Punisher,"6' 0""",225 lbs.,--,Orthodox,0,1,0,False
Kyron,Bowen,Bullseye,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,False
Brian,Bowles,,"5' 7""",135 lbs.,"70.0""",Orthodox,10,3,0,False
Roger,Bowling,Relentless,"5' 9""",155 lbs.,"68.0""",Orthodox,12,6,0,False
Blake,Bowman,,"6' 2""",170 lbs.,--,,2,6,0,False
Ashe,Bowman,The Archer,"5' 9""",155 lbs.,--,,9,11,0,False
Anvar,Boynazarov,The Uzbek,"5' 9""",145 lbs.,--,Orthodox,3,1,0,False
Colley,Bradford,,"5' 7""",145 lbs.,--,,0,1,0,False
Kyle,Bradley,,"5' 9""",155 lbs.,"71.0""",Orthodox,19,12,0,False
Paul,Bradley,The Gentleman,"5' 9""",170 lbs.,--,Orthodox,23,8,0,False
Sean,Brady,,"5' 10""",170 lbs.,"72.0""",Orthodox,18,1,0,False
Ebenezer Fontes,Braga,Pitbull,"6' 0""",199 lbs.,--,Orthodox,13,7,2,False
Ramiz,Brahimaj,,"5' 10""",170 lbs.,"72.0""",Orthodox,12,5,0,False
Adam,Bramhald,Samurai,"5' 10""",135 lbs.,"70.0""",Orthodox,13,3,0,False
Joe,Brammer,The South Side Strangler,"5' 8""",155 lbs.,--,Orthodox,7,3,1,False
David,Branch,,"6' 1""",185 lbs.,"78.0""",Orthodox,22,6,0,False
Billy,Brand,,"5' 6""",135 lbs.,"65.0""",Orthodox,5,2,0,False
Diego,Brandao,DB,"5' 7""",145 lbs.,"64.0""",Orthodox,22,11,0,False
Bruna,Brasil,,"5' 6""",115 lbs.,"65.0""",Orthodox,11,5,1,False
Michael,Bravo,,--,155 lbs.,--,,7,4,0,False
Martin,Bravo,El Toro,"5' 8""",145 lbs.,"71.0""",Southpaw,11,3,0,False
Roman,Bravo-Young,,--,205 lbs.,--,,0,1,0,False
Mike,Breeden,Money,"5' 10""",155 lbs.,"70.0""",Orthodox,11,6,0,False
Tom,Breese,,"6' 3""",185 lbs.,"73.0""",Southpaw,12,3,0,False
Elves,Brener,,"5' 10""",155 lbs.,"72.0""",Orthodox,16,6,0,False
Chris,Brennan,The Westside Strangler,"5' 8""",170 lbs.,--,Orthodox,21,13,1,False
Charlie,Brenneman,The Spaniard,"5' 10""",155 lbs.,"70.0""",Orthodox,19,8,0,False
Robert,Breslin,The Bullet,"5' 11""",155 lbs.,--,,3,9,0,False
Mack,Brewer,,--,205 lbs.,--,,0,1,0,False
Marcos,Brigagao,Ironside,"6' 3""",205 lbs.,"76.0""",Southpaw,11,1,0,False
Jason,Brilz,Hitman,"5' 11""",205 lbs.,"71.0""",Orthodox,22,6,1,False
Marcus,Brimage,The Bama Beast,"5' 4""",135 lbs.,"71.0""",Southpaw,7,7,0,False
Aaron,Brink,,"6' 3""",205 lbs.,--,Orthodox,26,26,0,False
Henry,Briones,Bure,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,1,False
Marcelo,Brito,Jungle Boy,"6' 1""",170 lbs.,--,Orthodox,13,8,0,False
Joanderson,Brito,Tubarao,"5' 8""",145 lbs.,"72.0""",Orthodox,17,5,1,False
Kaik,Brito,,"5' 11""",170 lbs.,"72.0""",Orthodox,16,5,0,False
Icaro,Brito,,--,145 lbs.,--,,7,1,0,False
Antwain,Britt,The Juggernaut,"6' 1""",205 lbs.,"77.0""",,11,6,0,False
Drew,Brokenshire,,--,--,--,,16,6,0,False
Mike,Bronzoulis,The Greek,"6' 0""",155 lbs.,--,,18,9,1,False
Jonathan,Brookins,,"6' 0""",145 lbs.,"74.0""",Southpaw,16,10,0,False
Will,Brooks,Ill,"5' 10""",155 lbs.,"72.0""",Orthodox,18,4,0,False
Jarred,Brooks,The Monkey God,"5' 3""",125 lbs.,"62.0""",Switch,13,2,0,False
Rob,Broughton,The Bear,"6' 2""",265 lbs.,"74.0""",Orthodox,16,7,1,False
Lee,Brousseau,Manimal,"6' 1""",205 lbs.,--,,5,3,0,False
Matt,Brown,The Immortal,"6' 0""",170 lbs.,"75.0""",Orthodox,26,19,0,False
Mike,Brown,,"5' 6""",145 lbs.,"70.0""",Orthodox,26,9,0,False
Dominic,Brown,,"5' 11""",190 lbs.,--,,16,23,0,False
Todd,Brown,Bulldog,"5' 11""",205 lbs.,--,Orthodox,16,4,0,False
Terrell,Brown,,--,185 lbs.,--,,3,1,0,False
Chris,Brown,,--,170 lbs.,--,,10,1,0,False
Frederick,Brown,,"6' 0""",235 lbs.,--,,3,2,0,False
Randy,Brown,Rudeboy,"6' 3""",170 lbs.,"78.0""",Orthodox,20,6,0,False
Damien,Brown,Beatdown,"5' 10""",155 lbs.,"68.0""",Orthodox,17,12,0,False
TJ,Brown,Downtown,"5' 9""",145 lbs.,"72.0""",Switch,17,11,0,False
Humberto,Brown Morrison,,"5' 10""",145 lbs.,--,,4,6,0,False
Travis,Browne,Hapa,"6' 6""",255 lbs.,"79.0""",Orthodox,18,7,1,False
Junie,Browning,,"5' 9""",155 lbs.,--,Orthodox,5,6,0,False
Jules,Bruchez,,"6' 0""",205 lbs.,--,Southpaw,1,2,0,False
Justin,Bruckmann,Loaf,"5' 9""",170 lbs.,--,Orthodox,7,3,0,False
Cody,Brundage,,"6' 0""",185 lbs.,"72.0""",Orthodox,11,7,1,False
Steve,Bruno,Hollywood,"5' 10""",170 lbs.,--,Orthodox,15,6,0,False
Fernando,Bruno,Acougueiro,"5' 6""",145 lbs.,--,,15,4,0,False
Derek,Brunson,The One,"6' 1""",185 lbs.,"77.0""",Southpaw,23,9,0,False
Josh,Bryant,The Beast,"5' 10""",185 lbs.,--,Orthodox,15,4,0,False
Dennis,Bryant,The Beard,"6' 0""",205 lbs.,--,Orthodox,5,2,0,False
Robert,Bryczek,,"6' 0""",185 lbs.,"75.0""",Orthodox,18,6,0,False
Lukasz,Brzeski,The Bull,"6' 3""",236 lbs.,"78.0""",Orthodox,9,7,1,False
Marcus,Buchecha,,"6' 2""",255 lbs.,"77.0""",Orthodox,5,2,0,False
Justin,Buchholz,,"6' 0""",155 lbs.,"73.0""",Orthodox,15,10,0,False
Zak,Bucia,,"5' 10""",170 lbs.,--,,17,8,0,False
Courtney,Buck,,"5' 10""",135 lbs.,--,Orthodox,12,11,0,False
Joaquin,Buckley,New Mansa,"5' 10""",170 lbs.,"76.0""",Southpaw,21,7,0,False
Martin,Buday,Badys,"6' 4""",265 lbs.,"77.0""",Orthodox,16,2,0,False
Julia,Budd,,"5' 7""",145 lbs.,"67.0""",,10,2,0,False
Dylan,Budka,The Mindless Hulk,"6' 0""",185 lbs.,"75.0""",Switch,7,5,0,False
Mike,Budnik,,"5' 9""",145 lbs.,"68.0""",Orthodox,13,4,0,False
Francisco,Bueno,,"5' 9""",225 lbs.,--,Orthodox,5,2,0,False
Mayra,Bueno Silva,Sheetara,"5' 6""",135 lbs.,"66.0""",Orthodox,10,5,1,False
Paul,Buentello,The Headhunter,"6' 2""",245 lbs.,"77.0""",Orthodox,35,17,0,False
Marek,Bujlo,Bujdzilla,--,265 lbs.,--,,6,0,0,False
Modestas,Bukauskas,The Baltic Gladiator,"6' 3""",205 lbs.,"76.0""",Switch,19,6,0,False
Lee Kwan,Bum,,"6' 2""",286 lbs.,--,Orthodox,0,1,0,False
Josh,Bumgarner,,"6' 1""",170 lbs.,--,,6,4,0,False
Shawn,Bunch,Bunch the Great,"5' 5""",135 lbs.,--,,7,3,0,False
Felipe,Bunes,Felipinho,"5' 7""",125 lbs.,"69.0""",Orthodox,14,8,0,False
Shane,Burgos,Hurricane,"5' 11""",145 lbs.,"75.0""",Orthodox,15,3,0,False
Joshua,Burkman,The People's Warrior,"5' 10""",170 lbs.,"72.0""",Orthodox,28,16,0,False
Justin,Burlinson,,"6' 1""",170 lbs.,"74.0""",Switch,6,1,0,False
Mads,Burnell,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,3,0,False
Mikey,Burnett,The Eastside Assassin,"5' 6""",170 lbs.,--,Orthodox,5,2,0,False
Kevin,Burns,The Fire,"5' 10""",170 lbs.,"74.0""",Orthodox,12,7,0,False
Gilbert,Burns,Durinho,"5' 10""",170 lbs.,"71.0""",Orthodox,22,9,0,False
Josh,Burns,The Hammer,"6' 1""",244 lbs.,--,,8,10,0,False
Herbert,Burns,The Blaze,"5' 9""",145 lbs.,"73.0""",Orthodox,11,6,0,False
Derrick,Burnsed,,--,155 lbs.,--,,1,0,3,False
Nah-Shon,Burrell,The Rock n Rolla,"5' 11""",170 lbs.,--,Orthodox,15,7,0,False
Martin,Buschkamp,,"5' 9""",145 lbs.,--,Orthodox,9,0,0,False
George,Bush,,"6' 1""",205 lbs.,--,,5,2,0,False
Bubba,Bush,The Fightin' Texas Aggie,"6' 0""",185 lbs.,--,Orthodox,8,3,0,False
Dakota,Bush,,"5' 10""",155 lbs.,"73.0""",Orthodox,8,4,0,False
Murilo,Bustamante,,"6' 2""",183 lbs.,--,Orthodox,15,8,1,False
Nick,Bustamante,,"5' 9""",170 lbs.,--,,5,3,0,False
Eduardo,Bustillos,,"5' 8""",135 lbs.,--,,5,3,0,False
Jason,Butcher,,"6' 3""",185 lbs.,--,,10,2,0,False
Todd,Butler,,"6' 1""",200 lbs.,--,Southpaw,1,4,0,False
Goldman,Butler,,--,--,--,,1,4,0,False
Ian,Butler,,"5' 8""",155 lbs.,--,,3,3,0,False
Raphael,Butler,The Silencer,"6' 3""",261 lbs.,--,,9,2,1,False
Jesse,Butler,,"5' 10""",135 lbs.,"73.0""",Orthodox,12,6,0,False
JP,Buys,Young Savage,"5' 5""",135 lbs.,"67.0""",Orthodox,9,6,0,False
Dennis,Buzukja,The Great,"5' 9""",145 lbs.,"70.0""",Switch,12,5,0,False
Charles,Byrd,Kid Dynamite,"5' 10""",185 lbs.,"73.0""",Orthodox,10,7,0,False
Steve,Byrnes,The Sergeant,"6' 0""",170 lbs.,--,Orthodox,6,1,0,False
Michael,Byrnes,,"5' 11""",155 lbs.,--,,5,3,0,False
Yan,Cabral,,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0,False
Juan,Cabrera,Papi Juancho,--,185 lbs.,--,,9,1,0,False
Alvin,Cacdac,,"5' 6""",125 lbs.,--,Orthodox,18,13,0,False
Alex,Caceres,Bruce Leeroy,"5' 10""",145 lbs.,"73.0""",Southpaw,21,15,0,False
Vince,Cachero,The Anomaly,"5' 6""",145 lbs.,"68.0""",Orthodox,7,4,0,False
Priscila,Cachoeira,Zombie Girl,"5' 7""",135 lbs.,"65.0""",Orthodox,13,7,0,False
Travis,Calanoc,The Dark Knight,"5' 8""",145 lbs.,--,Orthodox,5,1,0,False
Ricky,Calatayud,,"5' 9""",125 lbs.,--,,16,2,0,False
Lucas,Caldas,,--,155 lbs.,--,,6,1,0,False
Carlos,Calderon,Chief,"5' 11""",145 lbs.,"71.0""",Southpaw,6,3,0,False
Darrion,Caldwell,The Wolf,"5' 10""",135 lbs.,--,,10,1,0,False
Nicolle,Caliari,,"5' 3""",125 lbs.,"62.0""",Orthodox,8,4,0,False
Taylor,Callens,,"5' 10""",155 lbs.,--,,6,0,0,False
Cynthia,Calvillo,,"5' 4""",115 lbs.,"64.0""",Orthodox,9,6,1,False
Joe,Camacho,,"5' 9""",155 lbs.,--,Orthodox,13,19,3,False
Frank,Camacho,The Crank,"5' 10""",155 lbs.,"73.0""",Orthodox,22,10,0,False
Lucas,Camacho,,"6' 4""",265 lbs.,"80.0""",Orthodox,6,1,0,False
Matheus,Camilo,Jaguar,"5' 10""",155 lbs.,"69.0""",Orthodox,9,3,0,False
Fabricio,Camoes,Morango,"5' 10""",155 lbs.,"71.0""",Orthodox,14,9,1,False
Chris,Camozzi,,"6' 2""",185 lbs.,"75.0""",Orthodox,24,13,0,False
Brian,Camozzi,Mantis,"6' 2""",170 lbs.,"78.0""",Orthodox,7,5,0,False
Ricky,Camp,2 Slick,"5' 7""",135 lbs.,--,,11,4,0,False
Mike,Campbell,The Beast,"5' 9""",155 lbs.,--,Southpaw,13,4,0,False
Thomas,Campbell,,--,--,--,,3,3,0,False
Shane,Campbell,Shaolin,"6' 0""",155 lbs.,"71.0""",Orthodox,14,6,0,False
Charlie,Campbell,The Cannibal,"6' 0""",155 lbs.,"72.0""",Orthodox,9,2,0,False
Kitt,Campbell,The Killer,"6' 1""",170 lbs.,"73.0""",Orthodox,16,7,0,False
Kurtis,Campbell,The Pink Panther,--,145 lbs.,--,Switch,7,0,0,False
John,Campetella,,"5' 9""",235 lbs.,--,Orthodox,0,1,0,False
Wagner,Campos,Galeto,"5' 6""",145 lbs.,--,Southpaw,12,10,0,False
Derek,Campos,The Stallion,"5' 9""",155 lbs.,--,,19,6,0,False
Will,Campuzano,,"5' 9""",125 lbs.,"70.0""",Orthodox,14,6,0,False
Aleksa,Camur,,"6' 1""",205 lbs.,"74.0""",Orthodox,6,3,0,False
Chico,Camus,The King,"5' 6""",125 lbs.,"66.0""",Orthodox,17,7,0,False
Asbel,Cancio,,"5' 10""",225 lbs.,--,,0,1,0,False
Carlos,Candelario,The Cannon,"5' 8""",125 lbs.,"68.0""",Southpaw,8,3,0,False
Ronaldo,Candido,Pacman,"5' 6""",125 lbs.,--,Southpaw,6,0,0,False
Luiz,Cane,Banha,"6' 2""",185 lbs.,"77.0""",Southpaw,17,7,0,False
Guido,Cannetti,Ninja,"5' 6""",135 lbs.,"68.0""",Southpaw,10,8,0,False
Jared,Cannonier,The Killa Gorilla,"5' 11""",185 lbs.,"77.0""",Switch,18,9,0,False
Jose,Canseco,,"6' 4""",240 lbs.,--,Orthodox,0,1,0,False
Cody,Canterbury,,"5' 8""",155 lbs.,--,,1,10,0,False
Bo,Cantrell,Redrum,"6' 2""",235 lbs.,--,Orthodox,10,10,0,False
Steve,Cantwell,The Robot,"6' 2""",185 lbs.,"75.0""",Orthodox,7,6,0,False
Paul,Capaldo,,"5' 7""",135 lbs.,--,,6,0,0,False
Phil,Caracappa,The Hitman,"5' 8""",135 lbs.,"70.0""",Orthodox,6,1,0,False
Frank,Caracci,,--,--,--,,2,3,0,False
Gina,Carano,Conviction,"5' 8""",145 lbs.,--,Orthodox,7,1,0,False
Dos,Caras Jr.,,"6' 4""",225 lbs.,--,Orthodox,9,5,0,False
Bryan,Caraway,Kid Lightning,"5' 8""",135 lbs.,"68.0""",Orthodox,21,9,0,False
Remo,Cardarelli,,--,135 lbs.,--,,7,5,0,False
Phil,Cardella,,"5' 11""",155 lbs.,--,,8,5,0,False
Edgar,Cardenas,Kitty Katt,--,145 lbs.,--,,4,1,0,False
Chris,Cariaso,Kamikaze,"5' 3""",125 lbs.,"64.0""",Southpaw,17,8,0,False
Ronald,Carillo,,--,125 lbs.,--,,4,2,0,False
Rafael,Carino,,"6' 8""",245 lbs.,--,Orthodox,2,1,1,False
Don,Carlo-Clauss,,--,170 lbs.,--,,10,7,0,False
Antonio,Carlos Junior,Cara de Sapato,"6' 2""",185 lbs.,"79.0""",Orthodox,11,5,0,False
Spike,Carlyle,Alpha Ginger,"5' 8""",145 lbs.,"71.0""",Switch,9,3,0,False
Francis,Carmont,Limitless,"6' 3""",205 lbs.,"78.0""",Orthodox,25,12,0,False
Liz,Carmouche,Girlrilla,"5' 6""",125 lbs.,"66.0""",Orthodox,13,7,0,False
Roan,Carneiro,Jucao,"5' 11""",170 lbs.,"76.0""",Orthodox,21,11,0,False
Ariane,Carnelossi,Sorriso,"5' 2""",115 lbs.,"61.0""",Orthodox,15,3,0,False
Luana,Carolina,Dread,"5' 6""",135 lbs.,"69.0""",Orthodox,11,4,0,False
Tim,Caron,The Bear,"6' 1""",185 lbs.,--,Orthodox,7,1,0,False
Clayton,Carpenter,,"5' 6""",125 lbs.,"66.0""",Orthodox,8,1,0,False
Gabriel,Carrasco,,"5' 6""",135 lbs.,--,,7,0,0,False
Cody,Carrillo,,"5' 10""",155 lbs.,--,,11,16,0,False
Cain,Carrizosa,The Insane,"5' 8""",155 lbs.,--,Orthodox,10,3,0,False
Roger,Carroll,The Leprechaun,"5' 10""",170 lbs.,--,,16,14,0,False
Jonny,Carson,,"5' 10""",155 lbs.,--,,11,7,0,False
Scott,Carson,,"6' 2""",215 lbs.,--,,4,2,0,False
Shonie,Carter,Mr. International,"5' 10""",170 lbs.,--,Southpaw,51,31,7,False
Jack,Cartwright,,"5' 9""",135 lbs.,"68.0""",Orthodox,10,1,0,False
Bruno,Carvalho,,"5' 8""",154 lbs.,--,,10,5,0,False
Antonio,Carvalho,Pato,"5' 9""",145 lbs.,"70.0""",Orthodox,15,6,0,False
Rafael,Carvalho,,"6' 3""",185 lbs.,--,,14,1,0,False
Shane,Carwin,The Engineer,"6' 2""",265 lbs.,"80.0""",Orthodox,12,2,0,False
