First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Levi,Avera,,"6' 1""",170 lbs.,--,,18,15,0,False
Anthony,Avila,,"5' 7""",145 lbs.,--,,13,5,0,False
Chris,Avila,,"5' 10""",145 lbs.,--,Orthodox,5,4,0,False
Julia,Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9,4,0,False
Saad,Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0,False
Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0,False
Jessin,Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16,6,0,False
Abu,Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14,4,1,False
Ottman,Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13,3,0,False
Luiz,Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0,False
Luciano,Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17,9,1,False
Hunter,Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,0,False
Niklas,Backstrom,,"6' 1""",145 lbs.,--,Orthodox,11,3,0,False
Seth,Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"75.0""",Orthodox,20,14,0,False
Abdul Azeem,Badakhshi,The Afghan Lion,--,145 lbs.,--,,13,3,0,False
Ryan,Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,23,5,0,False
Izabela,Badurek,,"5' 5""",115 lbs.,--,Orthodox,6,3,0,False
Miguel,Baeza,Caramel Thunder,"6' 2""",170 lbs.,"74.0""",Orthodox,10,4,0,False
Ali,Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,15,6,0,False
Mehdi,Baghdad,The Sultan,"6' 1""",155 lbs.,--,Orthodox,11,5,0,False
Melsik,Baghdasaryan,The Gun,"5' 9""",145 lbs.,"70.0""",Southpaw,8,3,0,False
Siyar,Bahadurzada,The Great,"5' 11""",170 lbs.,"73.0""",Orthodox,24,8,1,False
Ignacio,Bahamondes,La Jaula,"6' 3""",155 lbs.,"75.0""",Orthodox,17,6,0,False
Bahatebole,Batebolati,Lion King,"5' 8""",170 lbs.,"71.0""",Southpaw,10,1,1,False
Shamar,Bailey,,"5' 9""",155 lbs.,"75.0""",Southpaw,16,11,0,False
Jordan,Bailey,,"5' 9""",145 lbs.,--,,6,3,0,False
Scott,Baker,,"6' 0""",210 lbs.,--,,1,1,0,False
Bryan,Baker,The Beast,"6' 3""",185 lbs.,--,Orthodox,18,5,0,False
Jin,Bala,,"5' 9""",155 lbs.,--,,23,3,0,False
,Balajin,The Snow Leopard,"5' 9""",145 lbs.,"72.0""",Orthodox,23,4,0,False
Oluwale,Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,6,4,0,False
Stephen,Banaszak,,"6' 0""",145 lbs.,--,,5,5,0,False
Marcin,Bandel,Bomba,"5' 10""",155 lbs.,--,Orthodox,15,7,0,False
Humberto,Bandenay,,"5' 11""",145 lbs.,"71.0""",Southpaw,14,7,0,False
Tae Hyun,Bang,Supernatural,"5' 9""",155 lbs.,"71.0""",Switch,18,10,0,False
Yohan,Banks,,--,--,--,,2,1,0,False
Shauna,Bannon,Mama B,"5' 5""",115 lbs.,"65.0""",Switch,7,2,0,False
Antonio,Banuelos,,"5' 5""",135 lbs.,"63.0""",Orthodox,20,11,1,False
Iwo,Baraniewski,Rudy,"6' 0""",205 lbs.,"73.0""",Orthodox,6,0,0,False
Renan,Barao,The Baron,"5' 6""",145 lbs.,"70.0""",Orthodox,34,9,0,False
Junior,Barata,,"5' 10""",170 lbs.,--,Orthodox,9,3,1,False
Maycee,Barber,The Future,"5' 5""",125 lbs.,"65.0""",Switch,14,2,0,False
Bryan,Barberena,Bam Bam,"6' 0""",185 lbs.,"72.0""",Southpaw,18,12,0,False
Djani,Barbir,,"6' 3""",185 lbs.,"79.0""",Orthodox,7,1,0,False
Dione,Barbosa,The Witch,"5' 6""",125 lbs.,"66.0""",Orthodox,8,4,0,False
Marcio,Barbosa,Ticoto,"5' 6""",145 lbs.,"70.0""",Orthodox,17,2,0,False
Edson,Barboza,Junior,"5' 11""",155 lbs.,"75.0""",Orthodox,24,13,0,False
Raoni,Barcelos,,"5' 7""",135 lbs.,"67.0""",Orthodox,20,5,0,False
Daniel,Barez,,"5' 6""",125 lbs.,"66.0""",Orthodox,17,7,0,False
Danny,Barlow,LeftHand2God,"6' 2""",185 lbs.,"79.0""",Southpaw,9,1,0,False
Luke,Barnatt,The Bigslow,"6' 6""",185 lbs.,"77.0""",Orthodox,13,4,0,False
James,Barnes,Mooka,"5' 8""",135 lbs.,"71.0""",Orthodox,14,5,0,False
Nick,Barnes,,"5' 11""",170 lbs.,--,,11,2,0,False
Shonte,Barnes,Shyne,"5' 11""",185 lbs.,"76.0""",Southpaw,6,2,1,False
Josh,Barnett,The Warmaster,"6' 3""",250 lbs.,"78.0""",Orthodox,35,8,0,False
Chris,Barnett,Beastboy,"5' 9""",265 lbs.,"75.0""",Orthodox,23,9,0,False
Chris,Barnhizer,,--,--,--,,2,3,0,False
David,Baron,,"5' 6""",155 lbs.,--,Switch,17,4,1,False
Phil,Baroni,The New York Bad Ass,"5' 9""",170 lbs.,"72.0""",Orthodox,15,18,0,False
Dan,Barrera,The Fireman,"5' 9""",170 lbs.,--,Orthodox,3,1,0,False
Carlos,Barreto,,"6' 4""",230 lbs.,--,Orthodox,14,9,0,False
Jose,Barreto,,--,185 lbs.,--,Southpaw,0,1,0,False
Peter,Barrett,Slippery,"5' 10""",145 lbs.,"73.0""",Southpaw,11,5,0,False
Marc-Andre,Barriault,Powerbar,"6' 1""",185 lbs.,"74.0""",Orthodox,17,10,0,False
David,Barrios,,"5' 6""",145 lbs.,--,,4,8,0,False
Alexandre,Barros,Baixinho,"5' 9""",170 lbs.,--,Southpaw,22,11,0,False
Ricardo,Barros,,"6' 1""",205 lbs.,--,,2,2,0,False
Francimar,Barroso,Bodao,"6' 1""",205 lbs.,"75.0""",Orthodox,19,7,0,False
Pat,Barry,HD,"5' 11""",235 lbs.,"74.0""",Orthodox,8,7,0,False
Dean,Barry,The Sniper,"5' 10""",170 lbs.,"72.0""",Orthodox,4,2,0,False
Enrique,Barzola,El Fuerte,"5' 7""",145 lbs.,"70.0""",Orthodox,17,5,2,False
Javid,Basharat,The Snow Leopard,"5' 9""",135 lbs.,"69.0""",Orthodox,14,2,0,False
Farid,Basharat,Ferocious,"5' 8""",135 lbs.,"71.0""",Orthodox,13,0,0,False
Austin,Bashi,,"5' 6""",145 lbs.,"70.0""",Orthodox,14,1,0,False
Stephen,Bass,Bigfish,"5' 9""",145 lbs.,--,Orthodox,11,2,0,False
Sean,Bassett,,--,155 lbs.,--,,0,4,0,False
Ryan,Bastianelli,Relentless,"5' 5""",135 lbs.,--,,6,7,0,False
Shayna,Baszler,The Queen of Spades,"5' 7""",135 lbs.,--,Orthodox,15,11,0,False
Namsrai,Batbayar,Steppe Warrior,"5' 4""",125 lbs.,"68.0""",Orthodox,9,1,0,False
Michel,Batista,,"6' 3""",260 lbs.,--,Orthodox,4,1,0,False
Bryan,Battle,The Butcher,"6' 1""",185 lbs.,"77.0""",Orthodox,13,2,0,False
Alan,Baudot,The Black Samourai,"6' 3""",243 lbs.,"79.0""",Orthodox,8,3,0,False
Mario,Bautista,,"5' 9""",135 lbs.,"69.0""",Switch,16,2,0,False
Chris,Beal,Real Deal,"5' 7""",125 lbs.,"69.0""",Orthodox,10,5,0,False
Donovan,Beard,The Highlight Reel,"6' 2""",185 lbs.,"78.0""",Orthodox,7,2,0,False
Rudy,Bears,,"5' 11""",170 lbs.,--,Southpaw,16,15,0,False
Salvador,Becerra,,"5' 9""",155 lbs.,--,,5,2,0,False
Ariel,Beck,,"5' 6""",125 lbs.,"66.0""",Southpaw,4,5,0,False
Jack,Becker,,"5' 10""",155 lbs.,"71.0""",Orthodox,13,6,0,False
Jeff,Bedard,Little Popeye,"5' 6""",145 lbs.,--,Orthodox,13,3,0,False
