"Cell.ID","Time.point","Intensity","Area"
124,874,14793.4305555556,71.5
128,874,11741.9814241486,320
131,874,7856.4802259887,180
134,874,7495.3220338983,296.5
146,874,10014.7647058824,173
149,874,12444.4911242604,168.5
154,874,13107.9308510638,191
155,874,10830.1234567901,79
156,874,7650.78911564626,733.5
157,874,13148.7482993197,293.5
159,874,10349.6302083333,192
0,875,10728.6513157895,607
3,875,16815.2585551331,263
6,875,16077.2508474576,290
10,875,13321.5913621262,301
14,875,12231.7716049383,332
24,875,10961.6339622642,529.5
51,875,13859.1234567901,325
70,875,10233.2158054711,331
81,875,9459.74505494506,455.5
101,875,8151.37419354839,154.5
106,875,12427.1228070175,509
124,875,14859.3571428571,70.5
128,875,11865.2865671642,334
131,875,7952.98924731183,189
134,875,7428.21725239617,308.5
146,875,10190.1241830065,155
149,875,12293.618556701,194
154,875,13138.6666666667,202.5
155,875,11239.5694444444,72
156,875,7658.04166666667,695.5
157,875,13127.3586206897,290
159,875,10551.4545454545,199
0,876,10660.3723916533,624.5
3,876,16853.2175572519,261
6,876,15715.2284768212,303.5
10,876,13465.0439189189,296
14,876,12303.7694610778,336.5
24,876,10951.5276190476,526.5
51,876,13770.6987951807,334
70,876,10499.9931972789,296
81,876,9562.04705882353,427
101,876,8142.75308641975,161.5
106,876,12346.6127744511,498.5
124,876,14763.904109589,72.5
128,876,12477.9615384615,338.5
131,876,8008.7094972067,181.5
134,876,7384.5119047619,333.5
146,876,10155.3933333333,151
149,876,12517.0628272251,192.5
154,876,13106.4187192118,205.5
155,876,10672.9146341463,81.5
156,876,7606.81742738589,720.5
157,876,13255.1402214022,271.5
159,876,10759.9447513812,183
0,877,10709.5172981878,605.5
3,877,16912.4904214559,261.5
6,877,15888.2346938776,294
10,877,13273.1315789474,304
14,877,12539.7575757576,394
24,877,10973.034416826,522.5
51,877,13794.4606413994,342.5
70,877,10376.9739413681,308.5
81,877,9555.20967741935,434.5
101,877,8091.61077844311,166
106,877,12373.8203125,508
124,877,14829.8450704225,71
128,877,12017.1662650602,415
131,877,8192.19895287958,194.5
134,877,7355.95495495495,331.5
146,877,10356.45,138
154,877,13077.2619047619,210.5
155,877,10721.25,80.5
156,877,7609.32112676056,711.5
157,877,13232.5644599303,286.5
159,877,10878.1878453039,181.5
0,878,10690.4665579119,615.5
3,878,16735.5133079848,261.5
6,878,15395.627388535,314.5
10,878,13403.9800664452,300.5
14,878,11797.5882352941,347
24,878,11027.7439252336,534.5
51,878,13835.9910979228,338
70,878,10291.4827586207,318
81,878,9618.83962264151,424
101,878,8076.38461538462,166
106,878,12383.4970414201,504.5
124,878,15055.1857142857,70.5
128,878,12100.450928382,381
131,878,8002.17368421053,193
146,878,10103.0915492958,142
149,878,12357.9833333333,181
154,878,13027.0050761421,198
155,878,10901.0256410256,79
156,878,7547.34615384615,726.5
157,878,13009.2932862191,281
159,878,10895.2905027933,180.5
0,879,10678.5275974026,621.5
3,879,16564.5793357934,269
6,879,15588.1897106109,312
10,879,13372.9464882943,298
14,879,12138.8319327731,358
24,879,11058.0302457467,529.5
51,879,13858.7871720117,342
70,879,10304.6419753086,324
81,879,9845.67183462532,387.5
101,879,8113.1974522293,156.5
106,879,12494.2361396304,486.5
124,879,14887.2638888889,72
128,879,12314.2099447514,356.5
131,879,7924.57068062827,193
134,879,7387.18862275449,333
146,879,9667.27044025157,159
149,879,12657.2021276596,191.5
154,879,12907.83984375,258
155,879,10868.5974025974,76.5
156,879,7550.90745501285,776
157,879,13092.0756013746,289.5
159,879,10834.3314917127,182
0,880,10711.6875,607.5
3,880,16755.558490566,264.5
6,880,15770.2668918919,295
10,880,13256.4415584416,307.5
14,880,12494.4810810811,371.5
24,880,11076.7153846154,519.5
51,880,13700.9029411765,340
70,880,10443.7840531561,302.5
81,880,9715.8630806846,409
101,880,8079.80745341615,159.5
106,880,12293.9828244275,517
124,880,14784.0972222222,72
128,880,12197.0377358491,367
131,880,7858.42857142857,204.5
134,880,7378.1572327044,317.5
146,880,9526.80141843972,140.5
154,880,12923.4274193548,251
155,880,11072,78.5
156,880,7587.52122015915,750.5
157,880,13217.1141868512,287
159,880,10818.0268817204,186.5
0,881,10705.7084690554,617.5
3,881,17019.968627451,253.5
6,881,15544.1672131148,304
10,881,13312.7450331126,300
14,881,12075.4171270718,365
24,881,10977.5251798561,556
51,881,13929.3867069486,330
70,881,10314.7672955975,320.5
81,881,9646.91569086651,426.5
101,881,8124.73202614379,154
106,881,12441.9469387755,490.5
124,881,14835,70.5
128,881,12040.6584699454,369.5
131,881,7834.97169811321,212
134,881,7367.82833787466,367
146,881,8931.49735449735,185.5
154,881,12920.8962655602,241.5
155,881,10897.8481012658,78.5
156,881,7596.38959212377,713
157,881,13312.9706959707,273.5
159,881,10867.4689265537,176
0,882,10747.8496732026,613.5
3,882,17065.2845849802,250.5
6,882,15718.4915824916,296.5
10,882,13331.016722408,298
14,882,12063.3925501433,353.5
24,882,11022.7037037037,537.5
51,882,13655.4169014085,354.5
70,882,10257.5279503106,323
81,882,9610.24705882353,423.5
101,882,8153.94594594595,147.5
106,882,12356.7647058824,508
124,882,14674.676056338,71.5
128,882,12103.8435897436,389.5
131,882,8022.01063829787,192.5
134,882,7428.6091954023,349
146,882,9149.32432432433,146
149,882,12535.8848167539,193
154,882,12832.8704453441,252
155,882,10678.4823529412,85
156,882,7618.86077643909,743
157,882,13103.3122807018,283
159,882,10340.0238095238,207.5
0,883,10711.9147540984,609.5
3,883,16921.4163424125,254.5
6,883,15925.90625,291
10,883,13381.7852348993,298.5
14,883,12045.6980609418,364
