study_id,participant_id,phase,condition,hit,fa
2,75,conditioning,CSp,0.67,0.31
2,75,post-conditioning,CSm,0.57,0.27
2,75,post-conditioning,CSp,0.63,0.31
2,75,pre-conditioning,CSm,0.6,0.27
2,75,pre-conditioning,CSp,0.7,0.31
2,76,conditioning,CSm,0.57,0.23
2,76,conditioning,CSp,0.63,0.42
2,76,post-conditioning,CSm,0.73,0.23
2,76,post-conditioning,CSp,0.77,0.42
2,76,pre-conditioning,CSm,0.77,0.23
2,76,pre-conditioning,CSp,0.93,0.42
2,77,conditioning,CSm,0.87,0.4
2,77,conditioning,CSp,0.83,0.37
2,77,post-conditioning,CSm,0.57,0.4
2,77,post-conditioning,CSp,0.4,0.37
2,77,pre-conditioning,CSm,0.67,0.4
2,77,pre-conditioning,CSp,0.7,0.37
2,78,conditioning,CSm,0.63,0.26
2,78,conditioning,CSp,0.77,0.26
2,78,post-conditioning,CSm,0.8,0.26
2,78,post-conditioning,CSp,0.83,0.26
2,78,pre-conditioning,CSm,0.77,0.26
2,78,pre-conditioning,CSp,0.77,0.26
2,79,conditioning,CSm,0.47,0.31
2,79,conditioning,CSp,0.67,0.4
2,79,post-conditioning,CSm,0.53,0.31
2,79,post-conditioning,CSp,0.63,0.4
2,79,pre-conditioning,CSm,0.63,0.31
2,79,pre-conditioning,CSp,0.7,0.4
2,80,conditioning,CSm,0.6,0.16
2,80,conditioning,CSp,0.77,0.16
2,80,post-conditioning,CSm,0.37,0.16
2,80,post-conditioning,CSp,0.67,0.16
2,80,pre-conditioning,CSm,0.53,0.16
2,80,pre-conditioning,CSp,0.47,0.16
2,81,conditioning,CSm,0.77,0.56
2,81,conditioning,CSp,0.83,0.27
2,81,post-conditioning,CSm,0.6,0.56
2,81,post-conditioning,CSp,0.7,0.27
2,81,pre-conditioning,CSm,0.9,0.56
2,81,pre-conditioning,CSp,0.9,0.27
2,82,conditioning,CSm,0.47,0.28
2,82,conditioning,CSp,0.6,0.17
2,82,post-conditioning,CSm,0.5,0.28
2,82,post-conditioning,CSp,0.4,0.17
2,82,pre-conditioning,CSm,0.6,0.28
2,82,pre-conditioning,CSp,0.33,0.17
2,83,conditioning,CSm,0.43,0.28
2,83,conditioning,CSp,0.57,0.1
2,83,post-conditioning,CSm,0.57,0.28
2,83,post-conditioning,CSp,0.53,0.1
2,83,pre-conditioning,CSm,0.57,0.28
2,83,pre-conditioning,CSp,0.43,0.1
2,84,conditioning,CSm,0.33,0.18
2,84,conditioning,CSp,0.5,0.39
2,84,post-conditioning,CSm,0.37,0.18
2,84,post-conditioning,CSp,0.53,0.39
2,84,pre-conditioning,CSm,0.5,0.18
2,84,pre-conditioning,CSp,0.7,0.39
2,85,conditioning,CSm,0.7,0.11
2,85,conditioning,CSp,0.73,0.18
2,85,post-conditioning,CSm,0.5,0.11
2,85,post-conditioning,CSp,0.67,0.18
2,85,pre-conditioning,CSm,0.57,0.11
2,85,pre-conditioning,CSp,0.43,0.18
2,86,conditioning,CSm,0.27,0.17
2,86,conditioning,CSp,0.77,0.4
2,86,post-conditioning,CSm,0.17,0.17
2,86,post-conditioning,CSp,0.47,0.4
2,86,pre-conditioning,CSm,0.27,0.17
2,86,pre-conditioning,CSp,0.6,0.4
2,87,conditioning,CSm,0.53,0.1
2,87,conditioning,CSp,0.83,0.26
2,87,post-conditioning,CSm,0.4,0.1
2,87,post-conditioning,CSp,0.47,0.26
2,87,pre-conditioning,CSm,0.33,0.1
2,87,pre-conditioning,CSp,0.37,0.26
2,88,conditioning,CSm,0.83,0.59
2,88,conditioning,CSp,0.53,0.43
2,88,post-conditioning,CSm,0.63,0.59
2,88,post-conditioning,CSp,0.5,0.43
2,88,pre-conditioning,CSm,0.57,0.59
2,88,pre-conditioning,CSp,0.57,0.43
2,90,conditioning,CSm,0.7,0.26
2,90,conditioning,CSp,0.63,0.17
2,90,post-conditioning,CSm,0.6,0.26
2,90,post-conditioning,CSp,0.6,0.17
2,90,pre-conditioning,CSm,0.83,0.26
2,90,pre-conditioning,CSp,0.87,0.17
2,91,conditioning,CSm,0.73,0.19
2,91,conditioning,CSp,0.93,0.03
2,91,post-conditioning,CSm,0.6,0.19
2,91,post-conditioning,CSp,0.77,0.03
2,91,pre-conditioning,CSm,0.63,0.19
2,91,pre-conditioning,CSp,0.8,0.03
2,92,conditioning,CSm,0.87,0.2
2,92,conditioning,CSp,0.87,0.07
2,92,post-conditioning,CSm,0.73,0.2
2,92,post-conditioning,CSp,0.7,0.07
2,92,pre-conditioning,CSm,0.87,0.2
2,92,pre-conditioning,CSp,0.8,0.07
2,93,conditioning,CSm,0.63,0.23
2,93,conditioning,CSp,0.8,0.29
2,93,post-conditioning,CSm,0.67,0.23
2,93,post-conditioning,CSp,0.6,0.29
2,93,pre-conditioning,CSm,0.77,0.23
2,93,pre-conditioning,CSp,0.67,0.29
2,94,conditioning,CSm,0.23,0.08
2,94,conditioning,CSp,0.7,0.11
2,94,post-conditioning,CSm,0.47,0.08
2,94,post-conditioning,CSp,0.6,0.11
2,94,pre-conditioning,CSm,0.4,0.08
2,94,pre-conditioning,CSp,0.6,0.11
2,95,conditioning,CSm,0.53,0.12
2,95,conditioning,CSp,0.7,0.31
2,95,post-conditioning,CSm,0.63,0.12
2,95,post-conditioning,CSp,0.57,0.31
2,95,pre-conditioning,CSm,0.5,0.12
2,95,pre-conditioning,CSp,0.73,0.31
2,96,conditioning,CSm,0.3,0.09
2,96,conditioning,CSp,0.33,0.33
2,96,post-conditioning,CSm,0.47,0.09
2,96,post-conditioning,CSp,0.7,0.33
2,96,pre-conditioning,CSm,0.6,0.09
2,96,pre-conditioning,CSp,0.47,0.33
2,97,conditioning,CSm,0.97,0.48
2,97,conditioning,CSp,0.67,0.09
2,97,post-conditioning,CSm,0.77,0.48
2,97,post-conditioning,CSp,0.37,0.09
2,97,pre-conditioning,CSm,0.77,0.48
2,97,pre-conditioning,CSp,0.43,0.09
2,98,conditioning,CSm,0.7,0.32
2,98,conditioning,CSp,0.87,0.28
2,98,post-conditioning,CSm,0.6,0.32
2,98,post-conditioning,CSp,0.8,0.28
2,98,pre-conditioning,CSm,0.73,0.32
2,98,pre-conditioning,CSp,0.93,0.28
2,99,conditioning,CSm,0.5,0.18
