"Date","Open","High","Low","Close","Adj.Close","Volume"
"2010-02-16",4.395,4.435,4.3425,4.4175,4.052371,45702400
"2010-02-17",4.4725,4.475,4.3325,4.46,4.091359,87656000
"2010-02-18",4.215,4.2375,4.0525,4.1675,3.823036,151550800
"2010-02-19",4.15,4.195,4.125,4.145,3.802395,51054800
"2010-02-22",4.1625,4.225,4.125,4.1525,3.809277,45808400
"2010-02-23",4.165,4.1825,4.01,4.0525,3.717541,48976400
NA,NA,NA,NA,NA,NA,NA
"2010-02-25",4.0425,4.11,3.94,4.1,3.761117,57697200
"2010-02-26",4.08,4.11,4.025,4.05,3.715248,39339600
"2010-03-01",4.0525,4.2325,4.02,4.2125,3.864317,55586800
"2010-03-02",4.25,4.3025,4.18,4.21,3.862023,53864800
"2010-03-03",4.235,4.2575,4.1225,4.1575,3.813862,39930000
"2010-03-04",4.175,4.2075,4.1125,4.165,3.820743,55739600
"2010-03-05",4.135,4.3225,4.135,4.2925,3.937704,63283200
"2010-03-08",4.295,4.3075,4.2125,4.23,3.88037,43931200
"2010-03-09",4.2725,4.43,4.27,4.3875,4.024852,83083200
"2010-03-10",4.375,4.445,4.3725,4.3975,4.034025,41852000
"2010-03-11",4.3625,4.3775,4.28,4.2975,3.942292,54066000
"2010-03-12",4.345,4.3575,4.29,4.3125,3.956053,52035200
"2010-03-15",4.3075,4.35,4.25,4.29,3.935409,35890400
"2010-03-16",4.2875,4.465,4.285,4.44,4.073012,66498800
"2010-03-17",4.465,4.585,4.465,4.525,4.150988,65116800
"2010-03-18",4.5325,4.5325,4.325,4.365,4.00421,74096400
"2010-03-19",4.43,4.4425,4.2575,4.3125,3.956053,58461200
"2010-03-22",4.2575,4.4,4.2575,4.3825,4.020266,43533600
"2010-03-23",4.415,4.495,4.385,4.4725,4.102827,49361200
"2010-03-24",4.435,4.4475,4.315,4.3225,3.965225,43625200
"2010-03-25",4.385,4.4125,4.325,4.335,3.976692,49518400
"2010-03-26",4.3725,4.4175,4.3,4.335,3.976692,34467600
"2010-03-29",4.3625,4.4,4.3025,4.39,4.027145,39445600
"2010-03-30",4.44,4.4625,4.3325,4.4075,4.043199,32410400
"2010-03-31",4.39,4.41,4.3275,4.35,3.990452,38984000
"2010-04-01",4.37,4.42,4.26,4.305,3.949172,33966400
NA,NA,NA,NA,NA,NA,NA
"2010-04-06",4.315,4.325,4.1875,4.2625,3.910184,80926000
"2010-04-07",4.235,4.3625,4.2,4.29,3.935409,81746800
"2010-04-08",4.2625,4.295,4.1975,4.22,3.871197,103760000
"2010-04-09",4.21,4.2625,4.1875,4.2475,3.896423,81757200
"2010-04-12",4.2525,4.3425,4.245,4.325,3.967518,54646000
"2010-04-13",4.3425,4.43,4.325,4.415,4.050079,64869600
"2010-04-14",4.51,4.5325,4.4,4.47,4.100532,90072000
"2010-04-15",4.485,4.53,4.44,4.5025,4.130347,95759600
"2010-04-16",4.32,4.3375,4.17,4.265,3.912477,191773600
"2010-04-19",4.2325,4.2575,4.1025,4.245,3.89413,109449200
"2010-04-20",4.275,4.32,4.205,4.26,3.90789,67818800
"2010-04-21",4.2825,4.2875,4.1,4.15,3.806983,89590800
"2010-04-22",4.0825,4.18,4.025,4.1675,3.823036,65693200
"2010-04-23",4.155,4.165,4.0375,4.11,3.770289,75291600
"2010-04-26",4.115,4.2,4.1075,4.15,3.806983,49109200
"2010-04-27",4.12,4.1625,4.02,4.0325,3.699194,60670400
"2010-04-28",4.03,4.0975,3.9575,4.04,3.706075,67216400
"2010-04-29",4.0525,4.1675,3.9925,4.1625,3.81845,98712800
"2010-04-30",4.1125,4.12,3.925,3.9275,3.602873,106804800
"2010-05-03",3.9475,3.97,3.825,3.885,3.563886,107897200
"2010-05-04",3.825,3.8325,3.6325,3.6875,3.38271,131137600
"2010-05-05",3.6125,3.7175,3.58,3.625,3.325376,133084000
"2010-05-06",3.6,3.675,3.26,3.55,3.256575,100288800
"2010-05-07",3.5825,3.5825,3.365,3.49,3.201534,115371200
"2010-05-10",3.7,3.745,3.6,3.64,3.339137,97915600
"2010-05-11",3.605,3.6725,3.5725,3.6,3.302443,82912400
"2010-05-12",3.625,3.69,3.6025,3.67,3.366658,90123600
"2010-05-13",3.655,3.8225,3.6275,3.6625,3.359776,125200000
"2010-05-14",3.415,3.425,3.15,3.24,2.972199,249306800
"2010-05-17",3.245,3.2875,3.145,3.2475,2.979079,85606000
"2010-05-18",3.275,3.295,3.1225,3.14,2.880464,67411200
"2010-05-19",3.125,3.195,3.1025,3.19,2.926331,82652000
"2010-05-20",3.0975,3.19,3.0025,3.115,2.85753,112913600
"2010-05-21",3.025,3.27,3.025,3.1825,2.919451,106960000
"2010-05-24",3.1725,3.21,3.08,3.09,2.834597,66456400
"2010-05-25",2.9925,3.1875,2.9625,3.1725,2.910278,96665200
"2010-05-26",3.3,3.3625,3.1775,3.1875,2.924038,99502800
"2010-05-27",3.2675,3.375,3.26,3.375,3.09604,71356000
"2010-05-28",3.37,3.37,3.235,3.285,3.013479,54511600
NA,NA,NA,NA,NA,NA,NA
"2010-06-02",3.15,3.185,3.13,3.18,2.917157,64908800
"2010-06-03",3.115,3.1825,3.105,3.175,2.912571,58636000
"2010-06-04",3.0825,3.1375,3.0075,3.025,2.77497,67145600
"2010-06-07",3.0375,3.0575,2.8625,2.875,2.637367,57724800
"2010-06-08",2.8625,2.8625,2.7225,2.795,2.56398,96763600
"2010-06-09",2.81,2.885,2.7175,2.7275,2.502059,69715200
"2010-06-10",2.7825,2.85,2.775,2.8375,2.602967,61176800
"2010-06-11",2.8075,2.915,2.8,2.9025,2.662595,44210400
"2010-06-14",2.945,2.95,2.8325,2.84,2.60526,37508000
"2010-06-15",2.8725,2.995,2.8675,2.98,2.733688,52863200
"2010-06-16",2.96,2.9875,2.9025,2.9425,2.699288,36648000
"2010-06-17",3.045,3.0625,2.94,3.055,2.80249,85906800
"2010-06-18",3.0725,3.1125,3.05,3.075,2.820836,93283200
"2010-06-21",3.14,3.1475,2.975,3.0025,2.754329,57983600
"2010-06-22",3.04,3.0775,2.875,2.89,2.651128,81816400
"2010-06-23",2.9175,2.9525,2.835,2.9225,2.680942,61406000
"2010-06-24",2.905,2.92,2.7675,2.7775,2.547926,72502800
"2010-06-25",2.7975,2.8,2.725,2.77,2.541046,50722000
"2010-06-28",2.79,2.815,2.725,2.775,2.545633,37200800
"2010-06-29",2.715,2.7175,2.6025,2.62,2.403445,66080800
"2010-06-30",2.625,2.6525,2.5525,2.5525,2.341523,62307200
"2010-07-01",2.56,2.6125,2.4825,2.595,2.380511,73700800
"2010-07-02",2.605,2.61,2.475,2.5625,2.350697,73709600
"2010-07-06",2.5525,2.635,2.5125,2.535,2.32547,71202000
"2010-07-07",2.545,2.6725,2.54,2.6575,2.437845,60841200
"2010-07-08",2.675,2.6775,2.545,2.5775,2.364457,78327200
"2010-07-09",2.59,2.605,2.555,2.5875,2.373631,57151600
"2010-07-12",2.5875,2.6675,2.585,2.635,2.417205,56539600
"2010-07-13",2.6775,2.7475,2.6625,2.73,2.504353,72331600
"2010-07-14",2.85,2.87,2.7175,2.7575,2.52958,135566400
"2010-07-15",2.76,2.7625,2.6475,2.68,2.458485,95308800
"2010-07-16",2.68,2.6875,2.5025,2.5125,2.304831,128860400
"2010-07-19",2.5475,2.625,2.53,2.615,2.398858,79844000
"2010-07-20",2.5475,2.695,2.525,2.68,2.458485,116098800
"2010-07-21",2.705,2.7075,2.5675,2.5925,2.378217,62494000
"2010-07-22",2.62,2.6625,2.605,2.635,2.417205,46261200
"2010-07-23",2.6325,2.635,2.565,2.59,2.375925,81760400
"2010-07-26",2.5825,2.6475,2.5425,2.6375,2.419498,68354800
"2010-07-27",2.645,2.65,2.5825,2.615,2.398858,68347200
"2010-07-28",2.5725,2.6175,2.525,2.5325,2.323177,132080800
"2010-07-29",2.35,2.4,2.2675,2.2825,2.093841,266447600
"2010-07-30",2.265,2.3375,2.23,2.2975,2.1076,98428800
"2010-08-02",2.3375,2.3475,2.285,2.295,2.105307,91702000
"2010-08-03",2.2775,2.28,2.2175,2.235,2.050266,95544400
"2010-08-04",2.255,2.3375,2.245,2.33,2.137414,85549600
"2010-08-05",2.3375,2.365,2.295,2.36,2.164935,80050400
"2010-08-06",2.35,2.4125,2.33,2.3875,2.190161,73990400
"2010-08-09",2.4125,2.415,2.3525,2.41,2.210802,46645600
"2010-08-10",2.37,2.375,2.3,2.31,2.119068,77256000
"2010-08-11",2.2625,2.2625,2.2125,2.22,2.036506,79614800
"2010-08-12",2.18,2.29,2.1625,2.24,2.054853,134358400
"2010-08-13",2.3125,2.38,2.3075,2.3475,2.153469,179739200
"2010-08-16",2.315,2.3625,2.2575,2.2875,2.098427,81400800
"2010-08-17",2.31,2.36,2.2875,2.3175,2.125948,48122400
"2010-08-18",2.31,2.35,2.295,2.33,2.137414,35292000
"2010-08-19",2.355,2.4775,2.3425,2.47,2.265843,161510000
"2010-08-20",2.4525,2.5525,2.45,2.4925,2.286484,130530800
"2010-08-23",2.5,2.5625,2.4475,2.455,2.252083,74862000
"2010-08-24",2.375,2.455,2.37,2.43,2.229149,64133200
"2010-08-25",2.4025,2.5,2.39,2.48,2.275016,75753200
"2010-08-26",2.5125,2.54,2.45,2.45,2.247496,65759600
"2010-08-27",2.465,2.55,2.4025,2.53,2.320884,106041600
"2010-08-30",2.5,2.52,2.41,2.41,2.210802,60280400
"2010-08-31",2.375,2.45,2.325,2.3325,2.139708,93148800
"2010-09-01",2.3675,2.3975,2.3375,2.35,2.155761,85144000
"2010-09-02",2.3575,2.4,2.335,2.3925,2.194749,59629200
"2010-09-03",2.45,2.4825,2.42,2.475,2.27043,56648400
"2010-09-07",2.4675,2.555,2.4625,2.4975,2.291069,89982000
"2010-09-08",2.5025,2.5975,2.475,2.58,2.36675,122415600
"2010-09-09",2.6125,2.615,2.5125,2.545,2.334643,69774800
"2010-09-10",2.5625,2.57,2.495,2.5175,2.309417,60929200
"2010-09-13",2.5625,2.6925,2.5625,2.66,2.440139,101579200
"2010-09-14",2.6375,2.67,2.6125,2.635,2.417205,69853600
"2010-09-15",2.61,2.6425,2.575,2.64,2.421791,55557200
"2010-09-16",2.605,2.665,2.605,2.6425,2.424084,36528000
"2010-09-17",2.6675,2.67,2.63,2.6375,2.419498,41688400
"2010-09-20",2.6375,2.6875,2.6125,2.6775,2.456192,44316800
"2010-09-21",2.6625,2.8675,2.6625,2.8225,2.589207,177962400
"2010-09-22",2.8125,2.8725,2.795,2.8475,2.61214,99999600
"2010-09-23",2.88,2.995,2.855,2.905,2.664888,124087200
"2010-09-24",2.97,3.075,2.9475,3.065,2.811662,108697600
"2010-09-27",3.0875,3.09,2.96,3,2.752035,99950400
"2010-09-28",3.0025,3.035,2.94,2.9925,2.745156,72319200
"2010-09-29",2.965,3.0575,2.9375,2.97,2.724516,97490400
"2010-09-30",3.0075,3.0425,2.895,2.92,2.678648,78763200
"2010-10-01",2.9625,2.9675,2.815,2.8375,2.602967,99912000
"2010-10-04",2.81,2.8575,2.7525,2.81,2.577739,74950000
"2010-10-05",2.87,2.875,2.8225,2.83,2.596087,75358800
"2010-10-06",2.83,2.8425,2.6675,2.695,2.472245,105760400
"2010-10-07",2.7075,2.71,2.595,2.675,2.453899,76148800
"2010-10-08",2.665,2.7375,2.6275,2.715,2.490592,70693200
"2010-10-11",2.7275,2.75,2.69,2.7025,2.479125,44268000
"2010-10-12",2.68,2.7675,2.6575,2.755,2.527287,60520800
"2010-10-13",2.8,2.875,2.77,2.835,2.600673,96873200
"2010-10-14",2.8375,2.8425,2.7775,2.79,2.559393,59917200
"2010-10-15",2.835,2.8675,2.79,2.8225,2.589207,63994000
"2010-10-18",2.825,2.8525,2.775,2.84,2.60526,44815600
"2010-10-19",2.7775,2.8425,2.755,2.8225,2.589207,86613600
"2010-10-20",2.825,2.9,2.775,2.8225,2.589207,76353200
"2010-10-21",2.825,2.83,2.73,2.7725,2.54334,101442800
"2010-10-22",2.79,2.9725,2.76,2.95,2.706168,132267600
"2010-10-25",2.9725,3,2.945,2.9775,2.731395,67313600
"2010-10-26",2.9425,3.0125,2.9175,2.9675,2.722222,67524800
"2010-10-27",2.94,3.02,2.9325,3.01,2.761209,49679600
"2010-10-28",3.05,3.06,2.985,3.0125,2.763502,70444800
"2010-10-29",3.0075,3.0375,2.975,3.005,2.756623,55466400
"2010-11-01",3.025,3.0725,2.985,3.01,2.761209,47392000
"2010-11-02",3.0225,3.1225,3.005,3.0725,2.818544,58103600
