item,idx,token,surprisal
2.6,18,me,4.8398590087890625
2.6,19,hr,0.6769312620162964
2.6,20,z,5.847803592681885
2.6,21,us,4.97208833694458
2.6,22,am,0.7084997296333313
2.6,23,men,0.31533172726631165
2.6,24,.,2.3416991233825684
2.6,25,Eva,13.419493675231934
2.6,26,hat,14.121084213256836
2.6,27,in,7.248167514801025
2.6,28,z,9.520647048950195
2.6,29,w,5.307349681854248
2.6,30,isc,5.382915496826172
2.6,31,hen,0.0026079940143972635
2.6,32,e,6.942023277282715
2.6,33,inen,3.77474045753479
2.6,34,ne,8.887069702148438
2.6,35,u,1.9921292066574097
2.6,36,en,0.8398734331130981
2.6,37,Fre,9.091188430786133
2.6,38,und,2.7303435802459717
2.6,39,",",4.831362247467041
2.6,40,Paul,14.077967643737793
2.6,41,",",5.418787956237793
2.6,42,und,5.0594563484191895
2.6,43,a,7.339158535003662
2.6,44,uch,1.2185484170913696
2.6,45,Richard,14.732275009155273
2.6,46,is,7.603081703186035
2.6,47,t,0.02970612235367298
2.6,48,sch,7.45445442199707
2.6,49,on,0.40995505452156067
2.6,50,l,8.130703926086426
2.6,51,ä,2.532245397567749
2.6,52,ng,2.7436025142669678
2.6,53,er,3.820369243621826
2.6,54,w,5.40250825881958
2.6,55,ied,4.808534622192383
2.6,56,er,0.07950610667467117
2.6,57,in,5.730721473693848
2.6,58,e,5.306666374206543
2.6,59,iner,2.856997013092041
2.6,60,Be,8.381474494934082
2.6,61,zie,3.4696719646453857
2.6,62,hung,0.03363169729709625
2.6,63,.,4.175663948059082
2.6,64,He,7.041057586669922
2.6,65,ute,8.604820251464844
2.6,66,is,6.447328090667725
2.6,67,t,0.050351038575172424
2.6,68,es,6.450911045074463
2.6,69,f,7.683897495269775
2.6,70,ür,0.5795086026191711
2.6,71,be,8.766510009765625
2.6,72,ide,8.029746055603027
2.6,73,in,8.093181610107422
2.6,74,Ord,15.489907264709473
2.6,75,n,2.9870798587799072
2.6,76,ung,0.07431265711784363
2.6,77,",",3.3653035163879395
2.6,78,s,5.318404674530029
2.6,79,ich,2.728970766067505
2.6,80,z,4.803305625915527
2.6,81,u,0.551317036151886
2.6,82,tre,13.999279975891113
2.6,83,ffen,0.39068248867988586
2.6,84,und,4.610727310180664
2.6,85,m,8.116063117980957
2.6,86,ite,11.297727584838867
2.6,87,in,6.062843322753906
2.6,88,ander,8.384119033813477
2.6,89,z,6.162917613983154
2.6,90,u,0.4299391806125641
2.6,91,pl,10.86228084564209
2.6,92,aud,8.883158683776855
2.6,93,ern,6.366139888763428
2.6,94,",",3.785848617553711
2.6,95,oh,9.774337768554688
2.6,96,ne,0.356899231672287
2.6,97,d,5.479713439941406
2.6,98,ass,3.471649646759033
2.6,99,al,9.894031524658203
2.6,100,te,7.857084274291992
2.6,101,G,7.242460250854492
2.6,102,ef,5.196528911590576
2.6,103,ü,3.2397613525390625
2.6,104,h,2.9025442600250244
2.6,105,le,7.377418041229248
2.6,106,w,5.783933162689209
2.6,107,ied,3.9044153690338135
2.6,108,er,0.0713697224855423
2.6,109,h,8.445781707763672
2.6,110,och,3.878394603729248
2.6,111,k,9.510568618774414
2.6,112,omm,1.7402540445327759
2.6,113,en,0.14419735968112946
2.6,114,.,1.7960461378097534
2.6,115,He,5.8031086921691895
2.6,116,ute,1.335999608039856
2.6,117,se,4.557299613952637
2.6,118,hen,6.10170841217041
2.6,119,s,4.717562198638916
2.6,120,ie,2.2340211868286133
2.6,121,s,4.527659893035889
2.6,122,ich,0.9345994591712952
2.6,123,z,4.309011936187744
2.6,124,um,5.220126152038574
2.6,125,er,7.952155590057373
2.6,126,sten,4.138410568237305
2.6,127,Mal,11.811300277709961
2.6,128,z,11.11352825164795
2.6,129,uf,7.8633246421813965
2.6,130,ä,4.1145339012146
2.6,131,ll,3.1117942333221436
2.6,132,ig,3.631443500518799
2.6,133,im,7.195160388946533
2.6,134,Park,12.887713432312012
2.6,135,w,6.637805461883545
2.6,136,ied,4.179373741149902
2.6,137,er,0.07201464474201202
2.6,138,.,3.8058953285217285
3.3,1,Tim,13.37127685546875
3.3,2,lie,16.72270393371582
3.3,3,bt,8.029566764831543
3.3,4,se,12.079168319702148
3.3,5,inen,8.790533065795898
3.3,6,ne,9.229686737060547
3.3,7,u,2.5198757648468018
3.3,8,en,3.4933390617370605
3.3,9,Volvo,19.702787399291992
3.3,10,.,3.8420796394348145
3.3,11,J,7.596840858459473
3.3,12,eden,6.835328102111816
3.3,13,Son,14.57430362701416
3.3,14,nt,1.315100908279419
3.3,15,ag,0.3458382189273834
3.3,16,ste,9.872431755065918
3.3,17,ht,1.9116963148117065
3.3,18,er,7.017904758453369
3.3,19,extra,18.363985061645508
3.3,20,fr,9.478361129760742
3.3,21,ü,2.4372456073760986
3.3,22,h,0.716244637966156
3.3,23,a,14.342329025268555
3.3,24,uf,2.0369765758514404
3.3,25,",",6.550007343292236
3.3,26,um,5.860670566558838
3.3,27,se,5.260508060455322
3.3,28,in,1.749984860420227
3.3,29,Auto,12.470417022705078
3.3,30,no,11.597593307495117
3.3,31,ch,0.12290428578853607
3.3,32,v,6.454595565795898
3.3,33,or,1.1393519639968872
3.3,34,der,6.257430553436279
3.3,35,ne,9.31466293334961
3.3,36,u,0.8634540438652039
3.3,37,en,0.2283884733915329
3.3,38,Ar,10.775612831115723
3.3,39,be,3.958522319793701
3.3,40,its,1.404323935508728
3.3,41,w,6.29176664352417
3.3,42,oche,4.834328651428223
3.3,43,z,5.387186527252197
3.3,44,u,0.6987493634223938
3.3,45,was,12.256415367126465
3.3,46,chen,8.626035690307617
3.3,47,.,1.5226764678955078
3.3,48,Nur,13.323996543884277
3.3,49,Tim,13.677858352661133
3.3,50,s,10.602425575256348
3.3,51,Volvo,15.241865158081055
3.3,52,sch,8.254837989807129
