Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition
3,2,2,40,2.798,2.605,32,Baseline
3,2,2,60,1.092,1.35,32,Baseline
3,1,2,40,2.417,1.505,29,Baseline
3,1,2,30,2.993,1.896,32,Baseline
3,1,1,50,2.301,2.661,35,Baseline
3,1,1,NaN,1.161,NaN,35,Baseline
3,2,2,40,1.608,3.07,32,Baseline
3,2,2,60,1.407,0.767,32,Baseline
3,1,1,NaN,1.597,NaN,29,Baseline
3,2,2,90,0.947,1.561,53,Baseline
3,2,2,90,0.749,1.33,53,Baseline
3,1,1,70,0.997,0.674,50,Baseline
3,1,1,90,0.972,1.145,50,Baseline
3,2,2,80,0.932,0.063,47,Baseline
3,1,1,70,0.897,1.434,47,Baseline
3,1,1,70,0.818,1.191,44,Baseline
3,1,1,75,0.897,1.056,44,Baseline
3,2,2,65,1.303,0.491,41,Baseline
3,1,1,80,0.707,0.176,41,Baseline
3,2,2,55,1.843,2.715,38,Baseline
3,1,1,60,1.442,0.486,38,Baseline
3,1,1,50,1.243,0.446,35,Baseline
3,2,1,40,1.862,0.115,35,Baseline
3,1,1,30,1.358,3.07,38,Baseline
3,2,NaN,NaN,NaN,NaN,38,Baseline
3,1,1,40,1.61,1.485,41,Baseline
3,1,1,70,0.692,1.021,41,Baseline
3,1,1,33,2.157,0.316,38,Baseline
3,2,2,55,0.966,1.142,38,Baseline
3,2,2,80,0.997,1.419,35,Baseline
3,2,2,70,0.767,1.31,35,Baseline
3,2,2,60,1.007,0.685,32,Baseline
3,1,2,40,1.762,0.499,32,Baseline
3,2,2,40,1.592,0.375,35,Baseline
3,1,1,60,0.61,0.8,35,Baseline
3,1,1,65,0.702,0.051,32,Baseline
3,2,2,40,1.872,1.626,32,Baseline
3,1,2,30,1.713,0.475,29,Baseline
3,2,1,30,2.101,0.355,32,Baseline
3,2,2,50,1.297,0.955,35,Baseline
3,1,1,60,0.732,0.511,35,Baseline
3,1,2,30,2.328,0.435,32,Baseline
3,2,2,35,1.502,1.876,35,Baseline
3,1,1,30,2.562,1.796,35,Baseline
3,1,1,50,1.002,1.205,32,Baseline
3,2,2,60,1.132,0.39,32,Baseline
3,2,2,55,1.262,1.67,29,Baseline
3,1,2,25,2.427,0.51,29,Baseline
3,2,2,35,1.353,1.271,32,Baseline
3,2,1,30,1.767,0.945,32,Baseline
3,1,2,50,0.938,0.196,35,Baseline
3,1,1,55,1.157,2.581,38,Baseline
3,2,2,60,0.968,0.015,38,Baseline
3,1,1,38,1.692,2.92,35,Baseline
3,2,2,40,1.458,0.76,35,Baseline
3,1,1,50,0.617,0.6,32,Baseline
3,1,2,20,1.648,2.835,32,Baseline
3,2,2,28,2.537,2.98,35,Baseline
3,1,1,50,0.777,1.146,35,Baseline
3,2,2,90,0.96,2.206,53,Fast
3,1,1,90,0.685,1.073,53,Fast
3,1,1,90,0.637,0.516,50,Fast
3,1,1,109,0.612,0.04,50,Fast
3,2,2,80,0.745,0.111,47,Fast
3,1,1,80,0.622,0.26,47,Fast
3,2,2,80,1.028,1.051,44,Fast
3,1,1,70,0.982,1.746,44,Fast
3,1,1,70,0.693,0.701,41,Fast
3,2,2,60,1.017,1.06,41,Fast
3,1,1,60,0.692,0.757,38,Fast
