participant,sex,age_range,do_you_have_a_mobile_phone,is_this_mobile_phone_yours_or_do_you_share_it,age_group,age_sex_group,mobile_phone_ownership,platform_for_health,platform_for_hisb,platform_for_health_topic,computer_searching,computer_socializing,computer_entertainment,computer_studying,computer_others,mobile_searching,mobile_socializing,mobile_entertainment,mobile_studying,mobile_others,hisb_rate
144,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,0,0,2,0,0,0,2,2,0,0,0
145,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,0,1,0,0,0,1,1,0,0,0
146,M,Lower than or equal 15,1,Not shared,<=15,<=15 M,2,,none,none,0,1,0,0,0,0,1,0,0,0,0
147,M,Lower than or equal 15,1,Shared,<=15,<=15 M,1,,none,none,0,0,1,0,0,0,0,1,0,0,0
148,F,,0,,,NA F,0,unclear,social media,web site,0,2,0,0,0,0,0,0,0,0,1
149,M,,1,Shared,,NA M,1,,none,none,0,1,0,0,0,0,0,1,0,0,0
150,M,,1,Not shared,,NA M,2,social media,social media,social media,0,1,0,0,0,0,0,1,0,0,1
151,M,,1,Not shared,,NA M,2,social media,search engine,web site,0,0,1,0,0,0,0,1,0,0,1
152,F,,1,Not shared,,NA F,2,,none,none,0,1,0,0,0,0,1,0,0,0,0
153,F,,1,Not shared,,NA F,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
154,M,,1,Not shared,,NA M,2,none,none,none,0,0,1,0,0,0,0,1,0,0,0
155,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,,none,none,1,0,3,1,1,1,1,3,1,1,0
156,M,,1,Not shared,,NA M,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
157,M,,1,Not shared,,NA M,2,,none,none,0,0,0,1,0,0,0,1,0,0,0
158,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,1,0,0,0,0,1,0,0,0,0,0
159,F,,1,Not shared,,NA F,2,,none,none,0,0,1,0,0,0,1,0,0,0,0
160,F,,1,Not shared,,NA F,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
161,F,,1,Not shared,,NA F,2,social media,social media,social media,0,1,0,1,1,0,1,1,1,1,2
162,F,,1,Not shared,,NA F,2,social media,social media,social media,1,0,0,0,0,0,1,0,0,0,1
163,F,,0,,,NA F,0,,none,none,0,0,1,0,0,0,0,0,0,0,0
164,M,,1,Not shared,,NA M,2,,none,none,0,0,1,0,0,0,1,1,0,0,0
165,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,1,0,0,0,0,1,0,0,0,0,0
166,M,,1,Not shared,,NA M,2,,none,none,1,0,0,0,0,0,0,1,0,0,0
167,F,,1,Not shared,,NA F,2,,none,none,0,0,0,0,1,0,1,0,0,0,0
168,M,,1,Not shared,,NA M,2,,none,none,1,0,0,1,0,0,0,0,1,0,0
169,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,0,1,0,0,0,1,0,0,0,0
170,F,,1,Not shared,,NA F,2,unclear,social media,social media,0,1,0,1,0,0,2,0,0,0,1
171,F,,0,,,NA F,0,,none,none,0,0,1,0,0,0,0,0,0,0,0
172,F,,1,Not shared,,NA F,2,,none,none,0,0,0,0,1,0,0,1,0,0,0
173,F,,1,Not shared,,NA F,2,,none,none,0,0,0,1,0,0,0,0,1,0,0
174,F,Lower than or equal 15,0,,<=15,<=15 F,0,,none,none,1,0,0,1,0,0,0,0,0,0,0
175,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,,none,none,1,0,0,0,0,0,0,0,0,0,0
176,F,,1,Not shared,,NA F,2,social media,social media,,1,0,1,1,1,0,0,0,1,1,1
177,M,,1,Not shared,,NA M,2,social media,social media,social media,0,0,2,0,0,1,0,2,0,0,1
178,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,search engine,search engine,social media,0,0,0,0,1,1,2,2,0,0,1
179,M,Lower than or equal 15,1,Not shared,<=15,<=15 M,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
180,M,Between 16 and 17 inclusive,0,,16-17,16-17 M,0,,none,none,0,0,1,0,0,0,0,0,0,0,0
181,M,Lower than or equal 15,1,Not shared,<=15,<=15 M,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
182,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,1,0,1,0,0,1,0,1,0,0,0
183,F,Lower than or equal 15,1,Shared,<=15,<=15 F,1,,none,none,0,0,1,0,0,0,1,0,0,0,0
184,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
185,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,1,0,0,0,1,0,0,0,0,0
186,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
187,F,Lower than or equal 15,0,,<=15,<=15 F,0,,none,none,1,0,0,0,0,0,0,0,0,0,0
188,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,0,0,1,0,0,1,0,0,0,0
189,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,0,1,1,0,0,0,2,1,0,0
190,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,0,1,0,0,0,1,0,0,0,0
191,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,0,1,0,0,0,1,0,0,0,0
192,M,,1,Not shared,,NA M,2,,none,none,0,0,1,0,0,0,1,0,0,0,0
193,F,,1,Not shared,,NA F,2,,none,none,0,0,0,1,0,0,0,1,0,0,0
194,F,,1,Not shared,,NA F,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
195,F,,0,,,NA F,0,,none,none,1,0,2,1,1,0,0,0,0,0,0
196,F,,1,Not shared,,NA F,2,unclear,social media,none,0,0,3,0,0,0,1,3,0,0,1
197,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,1,2,2,1,1,1,3,3,1,1,0
