Obj;Field;POS;Context;Number;Phase;HollowGlass;FlatGlass;Splitter;GlassChunk;Droplet;Slag;Tessera;Rod_yellow;Rod_orange;Rod_red;Rod_blue;Rod_white;Rod_greeen;Rod_Molten;Rod_Plychrome;Rod_Length;Rod_Dm;Pontil_yellow;Pontil_orange;Pontil_red;Pontil_bluee;Pontil_white;Pontil_green;OGW_yellow;OGW_orange;OGW_red;OGW_black;OGW_blue;OGW_green;OGW_white;Bead;RV;OvenPiece;Miscellaneous
1052;47;3796;2256;240;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2256;241;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
1052;47;3796;2256;241;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
1052;48;3921;2280;203;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
1052;48;3921;2280;204;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
1052;48;3921;2280;205;Umgelagert;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
1052;48;3921;2280;206;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;48;3921;2280;207;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3980;2285;201;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
1052;47;3791;2287;201;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;47;3791;2287;202;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;47;3791;2287;203;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;47;3791;2287;204;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;47;3791;2287;205;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
1052;47;3791;2287;206;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
1052;47;3791;2287;207;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
1052;47;3791;2287;208;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3791;2287;209;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
